llm,agent_config,difficulty,total_quests,successful_quests,quest_success_rate_pct,first_try_success_rate_pct,avg_attempts,avg_completion_time,avg_tokens
GPT-4o,AGEL-Comp-Full-System,1,3,3,100.0,100.0,1.0,6.63,72.33
GPT-4o,AGEL-Comp-Full-System,2,9,9,100.0,100.0,1.0,19.1,159.89
GPT-4o,AGEL-Comp-Full-System,3,9,9,100.0,88.89,1.11,21.64,139.11
GPT-4o,AGEL-Comp-Full-System,4,6,6,100.0,0.0,3.17,77.1,448.33
GPT-4o,AGEL-Comp-Full-System,5,3,3,100.0,0.0,4.0,80.93,653.33
GPT-4o,AGEL-Comp-w/o-NTP,1,3,3,100.0,100.0,1.0,17.27,197.0
GPT-4o,AGEL-Comp-w/o-NTP,2,9,9,100.0,44.44,2.56,45.77,326.33
GPT-4o,AGEL-Comp-w/o-NTP,3,9,9,100.0,0.0,3.11,82.84,459.44
GPT-4o,AGEL-Comp-w/o-NTP,4,6,6,100.0,0.0,5.83,203.13,929.83
GPT-4o,AGEL-Comp-w/o-NTP,5,3,3,100.0,0.0,9.0,237.37,1632.67
GPT-4o,AGEL-Comp-w/o-ILP,1,3,3,100.0,100.0,1.0,57.0,284.33
GPT-4o,AGEL-Comp-w/o-ILP,2,9,9,100.0,0.0,5.56,150.97,712.44
GPT-4o,AGEL-Comp-w/o-ILP,3,9,9,100.0,0.0,5.44,274.4,804.0
GPT-4o,AGEL-Comp-w/o-ILP,4,6,5,83.33,0.0,10.4,575.98,1827.6
GPT-4o,AGEL-Comp-w/o-ILP,5,3,0,0.0,0.0,0.0,0.0,0.0
GPT-4o,MLLM-Agent-Baseline,1,3,3,100.0,33.33,2.67,60.23,313.0
GPT-4o,MLLM-Agent-Baseline,2,9,9,100.0,11.11,4.67,188.4,652.11
GPT-4o,MLLM-Agent-Baseline,3,9,9,100.0,0.0,5.56,270.16,837.22
GPT-4o,MLLM-Agent-Baseline,4,6,5,83.33,0.0,10.8,579.08,1912.6
GPT-4o,MLLM-Agent-Baseline,5,3,0,0.0,0.0,0.0,0.0,0.0
Gemini-2.5-Pro,AGEL-Comp-Full-System,1,3,3,100.0,100.0,1.0,6.63,74.33
Gemini-2.5-Pro,AGEL-Comp-Full-System,2,9,9,100.0,100.0,1.0,12.61,161.33
Gemini-2.5-Pro,AGEL-Comp-Full-System,3,9,9,100.0,88.89,1.11,15.57,163.11
Gemini-2.5-Pro,AGEL-Comp-Full-System,4,6,6,100.0,0.0,3.17,70.22,512.0
Gemini-2.5-Pro,AGEL-Comp-Full-System,5,3,3,100.0,0.0,3.67,48.97,672.0
Gemini-2.5-Pro,AGEL-Comp-w/o-NTP,1,3,3,100.0,100.0,1.0,8.5,105.33
Gemini-2.5-Pro,AGEL-Comp-w/o-NTP,2,9,9,100.0,33.33,2.56,34.93,314.78
Gemini-2.5-Pro,AGEL-Comp-w/o-NTP,3,9,9,100.0,0.0,3.78,83.98,585.67
Gemini-2.5-Pro,AGEL-Comp-w/o-NTP,4,6,6,100.0,0.0,6.83,214.05,1400.5
Gemini-2.5-Pro,AGEL-Comp-w/o-NTP,5,3,1,33.33,0.0,12.0,167.9,2875.0
Gemini-2.5-Pro,AGEL-Comp-w/o-ILP,1,3,3,100.0,100.0,1.0,43.3,456.67
Gemini-2.5-Pro,AGEL-Comp-w/o-ILP,2,9,9,100.0,0.0,5.11,109.26,702.56
Gemini-2.5-Pro,AGEL-Comp-w/o-ILP,3,9,9,100.0,0.0,5.56,205.74,868.33
Gemini-2.5-Pro,AGEL-Comp-w/o-ILP,4,6,4,66.67,0.0,10.5,249.55,2272.5
Gemini-2.5-Pro,AGEL-Comp-w/o-ILP,5,3,0,0.0,0.0,0.0,0.0,0.0
Gemini-2.5-Pro,MLLM-Agent-Baseline,1,3,3,100.0,33.33,3.0,53.33,433.33
Gemini-2.5-Pro,MLLM-Agent-Baseline,2,9,9,100.0,0.0,4.78,113.29,747.11
Gemini-2.5-Pro,MLLM-Agent-Baseline,3,9,9,100.0,0.0,6.22,269.91,1155.78
Gemini-2.5-Pro,MLLM-Agent-Baseline,4,6,4,66.67,0.0,10.5,488.9,2273.0
Gemini-2.5-Pro,MLLM-Agent-Baseline,5,3,0,0.0,0.0,0.0,0.0,0.0
DeepSeek-VL-7B,AGEL-Comp-Full-System,1,3,3,100.0,100.0,1.0,8.43,61.67
DeepSeek-VL-7B,AGEL-Comp-Full-System,2,9,9,100.0,100.0,1.0,42.48,201.33
DeepSeek-VL-7B,AGEL-Comp-Full-System,3,9,9,100.0,55.56,1.78,58.21,179.56
DeepSeek-VL-7B,AGEL-Comp-Full-System,4,6,6,100.0,0.0,3.5,117.75,420.33
DeepSeek-VL-7B,AGEL-Comp-Full-System,5,3,3,100.0,0.0,4.33,197.57,656.67
DeepSeek-VL-7B,AGEL-Comp-w/o-NTP,1,3,3,100.0,100.0,1.0,41.9,212.0
DeepSeek-VL-7B,AGEL-Comp-w/o-NTP,2,9,9,100.0,44.44,3.33,77.54,365.11
DeepSeek-VL-7B,AGEL-Comp-w/o-NTP,3,9,9,100.0,0.0,4.33,208.11,533.22
DeepSeek-VL-7B,AGEL-Comp-w/o-NTP,4,6,5,83.33,0.0,8.2,336.88,1189.6
DeepSeek-VL-7B,AGEL-Comp-w/o-NTP,5,3,0,0.0,0.0,0.0,0.0,0.0
DeepSeek-VL-7B,AGEL-Comp-w/o-ILP,1,3,3,100.0,66.67,2.0,95.43,336.67
DeepSeek-VL-7B,AGEL-Comp-w/o-ILP,2,9,9,100.0,0.0,8.89,356.63,1057.22
DeepSeek-VL-7B,AGEL-Comp-w/o-ILP,3,9,8,88.89,0.0,9.25,524.5,1332.12
DeepSeek-VL-7B,AGEL-Comp-w/o-ILP,4,6,1,16.67,0.0,11.0,483.4,1274.0
DeepSeek-VL-7B,AGEL-Comp-w/o-ILP,5,3,0,0.0,0.0,0.0,0.0,0.0
DeepSeek-VL-7B,MLLM-Agent-Baseline,1,3,3,100.0,33.33,4.0,129.9,538.67
DeepSeek-VL-7B,MLLM-Agent-Baseline,2,9,9,100.0,0.0,9.11,466.59,1172.44
DeepSeek-VL-7B,MLLM-Agent-Baseline,3,9,7,77.78,0.0,9.43,530.34,1448.71
DeepSeek-VL-7B,MLLM-Agent-Baseline,4,6,1,16.67,0.0,13.0,1076.2,2061.0
DeepSeek-VL-7B,MLLM-Agent-Baseline,5,3,0,0.0,0.0,0.0,0.0,0.0
LLaVA-1.6,AGEL-Comp-Full-System,1,3,3,100.0,100.0,1.0,17.7,67.0
LLaVA-1.6,AGEL-Comp-Full-System,2,9,9,100.0,77.78,1.78,63.03,154.44
LLaVA-1.6,AGEL-Comp-Full-System,3,9,9,100.0,55.56,1.44,63.2,140.0
LLaVA-1.6,AGEL-Comp-Full-System,4,6,6,100.0,0.0,3.5,170.07,388.67
LLaVA-1.6,AGEL-Comp-Full-System,5,3,3,100.0,0.0,4.0,231.57,602.67
LLaVA-1.6,AGEL-Comp-w/o-NTP,1,3,3,100.0,100.0,1.0,78.93,226.0
LLaVA-1.6,AGEL-Comp-w/o-NTP,2,9,9,100.0,44.44,3.33,137.12,305.67
LLaVA-1.6,AGEL-Comp-w/o-NTP,3,9,9,100.0,0.0,4.22,265.7,517.44
LLaVA-1.6,AGEL-Comp-w/o-NTP,4,6,5,83.33,0.0,9.0,575.46,1319.4
LLaVA-1.6,AGEL-Comp-w/o-NTP,5,3,0,0.0,0.0,0.0,0.0,0.0
LLaVA-1.6,AGEL-Comp-w/o-ILP,1,3,3,100.0,66.67,2.33,152.53,382.33
LLaVA-1.6,AGEL-Comp-w/o-ILP,2,9,9,100.0,0.0,9.56,668.09,1015.0
LLaVA-1.6,AGEL-Comp-w/o-ILP,3,9,7,77.78,0.0,8.57,763.27,1058.86
LLaVA-1.6,AGEL-Comp-w/o-ILP,4,6,1,16.67,0.0,10.0,1042.1,1368.0
LLaVA-1.6,AGEL-Comp-w/o-ILP,5,3,0,0.0,0.0,0.0,0.0,0.0
LLaVA-1.6,MLLM-Agent-Baseline,1,3,3,100.0,0.0,5.0,317.6,479.67
LLaVA-1.6,MLLM-Agent-Baseline,2,9,9,100.0,0.0,8.56,700.2,952.33
LLaVA-1.6,MLLM-Agent-Baseline,3,9,7,77.78,0.0,8.29,813.29,1144.43
LLaVA-1.6,MLLM-Agent-Baseline,4,6,0,0.0,0.0,0.0,0.0,0.0
LLaVA-1.6,MLLM-Agent-Baseline,5,3,0,0.0,0.0,0.0,0.0,0.0
