llm,agent_config,quest_type,total_quests,successful_quests,quest_success_rate_pct,first_try_success_rate_pct,avg_attempts,avg_tokens
Gemini-2.5-Pro,AGEL-Comp-Full-System,primitive,12,12,100.0,75.0,1.33,208.33
Gemini-2.5-Pro,AGEL-Comp-Full-System,productivity,6,6,100.0,50.0,2.33,390.0
Gemini-2.5-Pro,AGEL-Comp-Full-System,systematicity,6,6,100.0,50.0,2.5,397.5
Gemini-2.5-Pro,AGEL-Comp-w/o-NTP,conditional,3,3,100.0,33.33,1.67,246.0
Gemini-2.5-Pro,AGEL-Comp-w/o-NTP,learning,3,3,100.0,0.0,3.33,490.67
Gemini-2.5-Pro,AGEL-Comp-w/o-NTP,primitive,12,12,100.0,25.0,3.83,610.33
Gemini-2.5-Pro,AGEL-Comp-w/o-NTP,productivity,6,4,66.67,0.0,6.75,1325.75
Gemini-2.5-Pro,AGEL-Comp-w/o-NTP,systematicity,6,6,100.0,33.33,4.17,810.17
Gemini-2.5-Pro,AGEL-Comp-w/o-ILP,conditional,3,3,100.0,0.0,2.33,320.0
Gemini-2.5-Pro,AGEL-Comp-w/o-ILP,learning,3,3,100.0,0.0,4.33,712.33
Gemini-2.5-Pro,AGEL-Comp-w/o-ILP,primitive,12,12,100.0,25.0,5.17,998.83
Gemini-2.5-Pro,AGEL-Comp-w/o-ILP,productivity,6,3,50.0,0.0,8.67,1331.67
Gemini-2.5-Pro,AGEL-Comp-w/o-ILP,systematicity,6,4,66.67,0.0,8.25,1380.0
Gemini-2.5-Pro,MLLM-Agent-Baseline,conditional,3,3,100.0,0.0,4.0,564.67
Gemini-2.5-Pro,MLLM-Agent-Baseline,learning,3,3,100.0,0.0,5.0,1000.33
Gemini-2.5-Pro,MLLM-Agent-Baseline,primitive,12,12,100.0,8.33,6.0,1093.17
Gemini-2.5-Pro,MLLM-Agent-Baseline,productivity,6,3,50.0,0.0,9.0,1667.0
Gemini-2.5-Pro,MLLM-Agent-Baseline,systematicity,6,4,66.67,0.0,6.0,1176.0
DeepSeek-VL-7B,AGEL-Comp-Full-System,conditional,3,3,100.0,100.0,1.0,79.67
DeepSeek-VL-7B,AGEL-Comp-Full-System,learning,3,3,100.0,0.0,2.67,287.33
DeepSeek-VL-7B,AGEL-Comp-Full-System,primitive,12,12,100.0,75.0,1.5,244.17
DeepSeek-VL-7B,AGEL-Comp-Full-System,productivity,6,6,100.0,33.33,3.0,402.5
DeepSeek-VL-7B,AGEL-Comp-Full-System,systematicity,6,6,100.0,50.0,2.5,276.5
DeepSeek-VL-7B,AGEL-Comp-w/o-NTP,conditional,3,3,100.0,33.33,2.33,251.67
DeepSeek-VL-7B,AGEL-Comp-w/o-NTP,learning,3,3,100.0,0.0,2.33,272.33
DeepSeek-VL-7B,AGEL-Comp-w/o-NTP,primitive,12,12,100.0,25.0,5.17,691.5
DeepSeek-VL-7B,AGEL-Comp-w/o-NTP,productivity,6,3,50.0,0.0,5.33,658.33
DeepSeek-VL-7B,AGEL-Comp-w/o-NTP,systematicity,6,5,83.33,50.0,4.2,564.8
DeepSeek-VL-7B,AGEL-Comp-w/o-ILP,conditional,3,3,100.0,0.0,7.0,755.33
DeepSeek-VL-7B,AGEL-Comp-w/o-ILP,learning,3,3,100.0,0.0,9.33,1312.33
DeepSeek-VL-7B,AGEL-Comp-w/o-ILP,primitive,12,10,83.33,16.67,6.7,871.9
DeepSeek-VL-7B,AGEL-Comp-w/o-ILP,productivity,6,2,33.33,0.0,12.0,1781.0
DeepSeek-VL-7B,AGEL-Comp-w/o-ILP,systematicity,6,3,50.0,0.0,10.33,1324.0
DeepSeek-VL-7B,MLLM-Agent-Baseline,conditional,3,3,100.0,0.0,8.0,1065.33
DeepSeek-VL-7B,MLLM-Agent-Baseline,learning,3,3,100.0,0.0,11.67,1874.67
DeepSeek-VL-7B,MLLM-Agent-Baseline,primitive,12,10,83.33,8.33,7.8,1093.0
DeepSeek-VL-7B,MLLM-Agent-Baseline,productivity,6,1,16.67,0.0,8.0,1240.0
DeepSeek-VL-7B,MLLM-Agent-Baseline,systematicity,6,3,50.0,0.0,9.33,1126.67
LLaVA-1.6,AGEL-Comp-Full-System,conditional,3,3,100.0,100.0,1.0,86.33
LLaVA-1.6,AGEL-Comp-Full-System,learning,3,3,100.0,0.0,2.0,195.67
LLaVA-1.6,AGEL-Comp-Full-System,primitive,12,12,100.0,58.33,2.25,224.0
LLaVA-1.6,AGEL-Comp-Full-System,productivity,6,6,100.0,33.33,2.67,360.5
LLaVA-1.6,AGEL-Comp-Full-System,systematicity,6,6,100.0,50.0,2.17,215.67
LLaVA-1.6,AGEL-Comp-w/o-NTP,conditional,3,3,100.0,33.33,1.67,161.33
LLaVA-1.6,AGEL-Comp-w/o-NTP,learning,3,3,100.0,0.0,2.0,206.33
LLaVA-1.6,AGEL-Comp-w/o-NTP,primitive,12,12,100.0,25.0,5.5,696.0
LLaVA-1.6,AGEL-Comp-w/o-NTP,productivity,6,3,50.0,0.0,5.67,711.33
LLaVA-1.6,AGEL-Comp-w/o-NTP,systematicity,6,5,83.33,50.0,4.4,618.8
LLaVA-1.6,AGEL-Comp-w/o-ILP,conditional,3,3,100.0,0.0,8.0,841.33
LLaVA-1.6,AGEL-Comp-w/o-ILP,learning,3,3,100.0,0.0,10.0,1238.0
LLaVA-1.6,AGEL-Comp-w/o-ILP,primitive,12,10,83.33,16.67,6.8,804.0
LLaVA-1.6,AGEL-Comp-w/o-ILP,productivity,6,1,16.67,0.0,9.0,1190.0
LLaVA-1.6,AGEL-Comp-w/o-ILP,systematicity,6,3,50.0,0.0,10.67,1198.0
LLaVA-1.6,MLLM-Agent-Baseline,conditional,3,3,100.0,0.0,8.33,929.0
LLaVA-1.6,MLLM-Agent-Baseline,learning,3,3,100.0,0.0,10.0,1404.0
LLaVA-1.6,MLLM-Agent-Baseline,primitive,12,9,75.0,0.0,7.56,890.89
LLaVA-1.6,MLLM-Agent-Baseline,productivity,6,1,16.67,0.0,5.0,641.0
LLaVA-1.6,MLLM-Agent-Baseline,systematicity,6,3,50.0,0.0,7.33,787.67
