llm,agent_config,quest_type,total_quests,successful_quests,quest_success_rate_pct,first_try_success_rate_pct,avg_attempts,avg_tokens
GPT-4o,AGEL-Comp-Full-System,conditional,3,3,100.0,100.0,1.0,101.33
GPT-4o,AGEL-Comp-Full-System,learning,3,3,100.0,66.67,1.33,170.0
GPT-4o,AGEL-Comp-Full-System,primitive,12,12,100.0,75.0,1.5,225.08
GPT-4o,AGEL-Comp-Full-System,productivity,6,6,100.0,50.0,2.5,388.17
GPT-4o,AGEL-Comp-Full-System,systematicity,6,6,100.0,50.0,2.17,285.67
GPT-4o,AGEL-Comp-w/o-NTP,conditional,3,3,100.0,33.33,1.67,194.33
GPT-4o,AGEL-Comp-w/o-NTP,learning,3,3,100.0,0.0,2.0,272.67
GPT-4o,AGEL-Comp-w/o-NTP,primitive,12,12,100.0,25.0,3.67,557.17
GPT-4o,AGEL-Comp-w/o-NTP,productivity,6,6,100.0,0.0,6.5,1135.67
GPT-4o,AGEL-Comp-w/o-NTP,systematicity,6,6,100.0,50.0,3.67,539.83
GPT-4o,AGEL-Comp-w/o-ILP,conditional,3,3,100.0,0.0,4.0,581.33
GPT-4o,AGEL-Comp-w/o-ILP,learning,3,3,100.0,0.0,5.33,808.0
GPT-4o,AGEL-Comp-w/o-ILP,primitive,12,12,100.0,25.0,5.33,835.0
GPT-4o,AGEL-Comp-w/o-ILP,productivity,6,3,50.0,0.0,7.0,1011.0
GPT-4o,AGEL-Comp-w/o-ILP,systematicity,6,5,83.33,0.0,8.2,1283.6
GPT-4o,MLLM-Agent-Baseline,conditional,3,3,100.0,0.0,5.33,742.33
GPT-4o,MLLM-Agent-Baseline,learning,3,3,100.0,0.0,5.0,709.33
GPT-4o,MLLM-Agent-Baseline,primitive,12,12,100.0,8.33,5.83,966.42
GPT-4o,MLLM-Agent-Baseline,productivity,6,3,50.0,0.0,7.0,1053.0
GPT-4o,MLLM-Agent-Baseline,systematicity,6,5,83.33,16.67,6.4,959.0
Gemini-2.5-Pro,AGEL-Comp-Full-System,conditional,3,3,100.0,100.0,1.0,99.67
Gemini-2.5-Pro,AGEL-Comp-Full-System,learning,3,3,100.0,66.67,1.33,235.67
