llm,agent_config,total_quests,successful_quests,quest_success_rate_pct,first_try_successes,first_try_success_rate_pct,avg_attempts,avg_completion_time,avg_total_tokens,avg_sample_efficiency
GPT-4o,AGEL-Comp-Full-System,30,30,100.0,20,66.67,1.77,36.4,251.93,25.03
GPT-4o,AGEL-Comp-w/o-NTP,30,30,100.0,7,23.33,3.87,104.67,604.67,62.1
GPT-4o,AGEL-Comp-w/o-ILP,30,26,86.67,3,10.0,5.92,264.58,909.19,120.88
GPT-4o,MLLM-Agent-Baseline,30,26,86.67,2,6.67,5.92,277.04,919.46,118.62
Gemini-2.5-Pro,AGEL-Comp-Full-System,30,30,100.0,20,66.67,1.73,28.06,274.37,23.27
Gemini-2.5-Pro,AGEL-Comp-w/o-NTP,30,28,93.33,6,20.0,4.04,91.0,703.5,59.5
Gemini-2.5-Pro,AGEL-Comp-w/o-ILP,30,25,83.33,3,10.0,5.64,158.52,983.92,89.88
Gemini-2.5-Pro,MLLM-Agent-Baseline,30,25,83.33,1,3.33,6.0,222.58,1100.72,113.92
DeepSeek-VL-7B,AGEL-Comp-Full-System,30,30,100.0,17,56.67,2.07,74.36,270.17,40.43
DeepSeek-VL-7B,AGEL-Comp-w/o-NTP,30,26,86.67,7,23.33,4.35,168.5,564.19,79.73
DeepSeek-VL-7B,AGEL-Comp-w/o-ILP,30,21,70.0,2,6.67,8.14,389.3,1069.33,150.05
DeepSeek-VL-7B,MLLM-Agent-Baseline,30,20,66.67,1,3.33,8.65,468.88,1218.5,160.55
LLaVA-1.6,AGEL-Comp-Full-System,30,30,100.0,15,50.0,2.17,96.81,233.03,41.7
LLaVA-1.6,AGEL-Comp-w/o-NTP,30,26,86.67,7,23.33,4.46,259.21,564.73,86.5
LLaVA-1.6,AGEL-Comp-w/o-ILP,30,20,66.67,2,6.67,8.15,642.77,953.1,170.7
LLaVA-1.6,MLLM-Agent-Baseline,30,19,63.33,0,0.0,7.89,681.45,948.47,174.32
